## adnan2021comparison
| N° | Texto literal                                                                                                                                                                                                                                                                                                                                                                                                                          | Pág./Sección                                                                                 | Eje          | Tipo                       | Razón                                                                                                                                                              |
§4 	1 4 	HALLAZGO/NÚMERO 	Conclusión principal del paper; cita directa para afirmar la ventaja de ML/híbridos sobre modelos físicos en condiciones extremas y fuera de muestra.
7 	"There is only one type of situation in which adding any type of constraint (physically based or otherwise) to a data-driven model can add value: if constraints help optimization." 	p. 3383
§4 	1 3 	AFIRMACIÓN GENERAL 	Marco teórico para justificar (o cuestionar) el valor de tus descriptores estocásticos como restricciones blandas; central para la discusión de hibridación.
8 	"By adding constraints to this type of model, we can only restrict (not expand) the space of possible functions that the network can emulate." 	p. 3383
§4 	1 3 	LIMITACIÓN/CONTRASTE 	Argumento formal sobre el costo de las restricciones físicas duras; relevante para justificar por qué tu enfoque usa descriptores estadísticos (restricciones blandas) en vez de conservación de masa estricta.
9 	"All models had increasingly large average errors with increasingly large extreme events. The LSTM average error was lowest in all of the return period bins. SAC-SMA was the worst performing model in terms of average error." 	p. 3382
§3.2 	1 5 	HALLAZGO/NÚMERO 	Resultado cuantitativo comparativo; cifra directa sobre degradación de todos los modelos en eventos extremos, útil para contextualizar PICP/PINAW de tu ensemble en caudales altos.
10 	"This return period analysis does not account for nonstationarity – i.e., the return period of a given magnitude of event in a given basin could change due to changing climate or changing land use." 	p. 3378
§2.2 	4 6 	LIMITACIÓN/CONTRASTE 	Limitación explícita de los autores sobre no-estacionariedad; en cuencas altoandinas con cambio climático (Ramis), esta es una brecha que tu enfoque estocástico puede abordar.

##hall2021hydrologist
| N°     | Texto literal                                                                                                                                                                                                                                                                 | Pág./Sección (Ctrl+F)                                            | Eje      | Tipo                     | Razón                                                                                                                       |
| ------ | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------- | -------- | ------------------------ | --------------------------------------------------------------------------------------------------------------------------- |
| **1**  | **"Open, accessible, reusable, and reproducible hydrologic research can have a significant positive impact on the scientific community and broader society."**                                                                                                                | **p. 1, Abstract** ("Open, accessible, reusable...")             | **7**    | **[AFIRMACIÓN GENERAL]** | Excelente frase de apertura para justificar la importancia de la reproducibilidad en hidrología.                            |
| **2**  | **"A recent study found that only 1 % of hydrology papers were fully reproducible (Stagge et al., 2019)."**                                                                                                                                                                   | **p. 1, Motivation** ("A recent study found...")                 | **7**    | **[HALLAZGO/NÚMERO]**    | Dato cuantitativo muy fuerte para justificar la necesidad de documentar completamente StoHyMoLAP.                           |
| **3**  | **"Hydrologists must evolve to ensure their data and research process are transparent and reproducible."**                                                                                                                                                                    | **p. 2, Motivation** ("Hydrologists must evolve...")             | **7**    | **[AFIRMACIÓN GENERAL]** | Respalda directamente la necesidad de publicar datos, código y metodología del modelo híbrido.                              |
| **4**  | **"Open science shifts the focus to improving research's reproducibility, transparency, collaboration and source acknowledgement, and long-term impact..."**                                                                                                                  | **p. 2, Motivation** ("Open science shifts...")                  | **7**    | **[AFIRMACIÓN GENERAL]** | Muy útil para discutir buenas prácticas metodológicas y transparencia científica.                                           |
| **5**  | **"Open hydrologists intentionally plan for, describe, and share the entire research process and approach from motivation to final output."**                                                                                                                                 | **p. 4, Principle 1** ("Open hydrologists intentionally...")     | **7**    | **[DEFINICIÓN/MÉTODO]**  | Define formalmente el primer principio de hidrología abierta; sirve para justificar la documentación integral del pipeline. |
| **6**  | **"Open hydrologists document all components of their data collection and analysis pipeline, favoring open and non-proprietary technologies."**                                                                                                                               | **p. 6, Principle 2** ("Open hydrologists document...")          | **4, 7** | **[DEFINICIÓN/MÉTODO]**  | Muy pertinente para respaldar la documentación de preprocesamiento, validación temporal y evitar fugas de información.      |
| **7**  | **"Open hydrologists explicitly provide public access ... to (1) raw data ... (2) descriptions and citations for the analysis methods and software versions ... (3) workflows, code, and software ... (4) descriptions of quality controls ... (5) final processed data..."** | **p. 7, Practical guide** ("Open hydrologists explicitly...")    | **7**    | **[DEFINICIÓN/MÉTODO]**  | Excelente respaldo para publicar datos, versiones de software, código y control de calidad del modelo.                      |
| **8**  | **"Open hydrologists test, archive, document, and version control their research code and software using standard open source software protocols and accessible documentation language."**                                                                                    | **p. 7, Principle 3** ("Open hydrologists test...")              | **7**    | **[DEFINICIÓN/MÉTODO]**  | Muy útil para justificar control de versiones, auditoría del código y reproducibilidad computacional.                       |
| **9**  | **"Transparent version control, software documentation, software guides, and software unit tests are all prerequisites for producing trustworthy hydrologic model outputs..."**                                                                                               | **p. 8, Principle 3** ("Transparent version control...")         | **7**    | **[AFIRMACIÓN GENERAL]** | Respalda la inclusión de pruebas, documentación y versionado del backend de StoHyMoLAP.                                     |
| **10** | **"Open, accessible, reusable, and reproducible hydrologic research will have the largest equitable impact on the scientific community and broader society."**                                                                                                                | **p. 10, Summary and outlook** ("Open, accessible, reusable...") | **7**    | **[AFIRMACIÓN GENERAL]** | Excelente frase de cierre para la discusión sobre ciencia abierta y reproducibilidad.                                       |

##franz2011evaluating
N°Texto literalPág./SecciónEjeTipoRazón1"evaluation of probabilistic outputs has not necessarily kept pace with ensemble generation. Much of the modeling community is still performing model evaluation using standard deterministic measures, such as error, correlation, or bias, typically applied to the ensemble mean or median."p. 1, Abstract(1)(5)[AFIRMACIÓN GENERAL]Justifica por qué StoHyMoLAP adopta métricas probabilísticas en lugar de solo NSE/RMSE; frase-ancla de motivación del paper.2"deterministic evaluation measures are deficient for fully analyzing probabilistic forecast or model performance"p. 2, Introduction(1)(5)[AFIRMACIÓN GENERAL]Respaldo directo para argumentar que las métricas clásicas son insuficientes cuando tu ensemble es estocástico (Lévy/MC).3"The focus of the current study is to provide a succinct overview of a range of available probabilistic verification measures and to demonstrate their application in evaluating and distinguishing model ensemble performance."p. 2, Methods (intro)(5)[AFIRMACIÓN GENERAL]Declara el objetivo metodológico; útil para citar como antecedente de marco de validación que adoptas/adaptas.4"A simple measure of ensemble accuracy is the Containing Ratio (CR) [...] I[Qobs(t)] equals 1 when the observation falls between the lowest and highest valued ensemble members and I[Qobs(t)] equals 0 when the observation falls outside the ensemble bounds."p. 5, §2.4.3(5)[DEFINICIÓN/MÉTODO]Definición formal del CR (equivalente operativo al PICP para bounds totales); útil para presentar PICP/PINAW en tu §Métricas.5"At a minimum, containing the observation within the uncertainty bounds is desired. However, an ensemble in which most members fall near the observation (indicating high probability for that observation) is more useful than an ensemble in which the members are equally distributed across many possible flow values (indicating similar probability for many possible observations)."p. 9, §3.3(5)(2)[AFIRMACIÓN GENERAL]Distinción clave entre cobertura bruta (PICP alto) y dispersión útil (PINAW ajustado); sirve para motivar PINAW/Winkler en tu validación.6"The ensemble probability is well calibrated if, for a given flow category, the relative frequency of the conditional event equals the ensemble probability [...] and when plotted on the reliability diagram, the conditional event will plot along a 1:1 line"p. 6, §2.4.4(5)[DEFINICIÓN/MÉTODO]Definición estándar de calibración de probabilidad (reliability); sustenta tu uso del diagrama de fiabilidad como herramienta de validación.7"Sharp ensembles will have narrowly distributed probability values where probability occurs most frequently in the extreme probability categories (i.e. 0–10% and >90–100%)."p. 6, §2.4.4(5)(2)[DEFINICIÓN/MÉTODO]Define "sharpness/refinement" del ensemble; útil para contrastar GLUE (difuso) vs SCEM (agudo) y anticipar el trade-off en tu ensemble α-estable.8"CR is positively correlated with the range of the discharge and parameter ensembles for these parameter estimation methods [...] GLUE, which has much wider bounds captures the observations at a higher rate."p. 9, §3.3(5)(3)[HALLAZGO/NÚMERO]Resultado empírico que muestra el trade-off cobertura↔precisión; análogo al problema de bandas subdispersivas que abordas en Eje 5.9"the number of timesteps with low flows will be very large relative to the higher flows and model skill for low flows will dominate the results. Because low flows are often the range of least interest, approaches to limit the influence of low discharge events on the statistics should be investigated."p. 13, §4(6)(5)[LIMITACIÓN/CONTRASTE]Matiza tu enfoque: en el Altiplano los caudales bajos y el baseflow sí son de interés (Eje 6); puedes citar esta limitación y argumentar que StoHyMoLAP la aborda explícitamente con métricas por régimen.10"There is significant memory in a sequence of hydrologic model outputs and hydrologic observations, which violates the assumption of sample independence. Investigation of this issue with respect to hydrologic model and forecast verification is a recommended topic for future studies."p. 13, §4(4)(6)[LIMITACIÓN/CONTRASTE]Matiza/contradice: la autocorrelación viola independencia en las métricas; directamente relevante para tu Eje 4 (leakage y validación temporal estricta) y Eje 6 (memoria/baseflow).11"the application of these metrics requires no information in addition to what is already available as part of the traditional model validation methodology, and allows consideration of the entire ensemble or uncertainty range in the approach."p. 13, §4(5)(7)[AFIRMACIÓN GENERAL]Argumento de reproducibilidad/practicidad; útil para tu Eje 7 al justificar que el framework de validación adoptado es auditable y replicable sin datos adicionales.12"These measures are much more informative about the nature of model uncertainty estimates than simple deterministic measures."p. 13, §4(1)(5)[AFIRMACIÓN GENERAL]Frase-ancla de cierre del paper; citable directamente en tu introducción o discusión como justificación del cambio de paradigma evaluativo.

##lees2021benchmarking
N°Texto literalPág./SecciónEjeTipoRazón1"the LSTM and the Entity Aware LSTM (EA LSTM) models simulate discharge with median Nash–Sutcliffe efficiency (NSE) scores of 0.88 and 0.86 respectively"p. 1, Abstract(1)[HALLAZGO/NÚMERO]Cifra de referencia para posicionar tu modelo híbrido: umbral NSE que un ML puro logra en cuencas templadas bien instrumentadas2"the LSTM-based models outperform a suite of benchmark conceptual models, suggesting an opportunity to use additional data to refine conceptual models"p. 1, Abstract(1)[AFIRMACIÓN GENERAL]Frase-ancla del paper; respalda tu eje (1) al mostrar que ML supera modelos conceptuales y motiva la hibridación3"Neither the LSTM nor the EA LSTM model have any station gauges with an NSE of less than zero"p. 7, Results §3.1(1), (4)[HALLAZGO/NÚMERO]Contraste útil: en cuencas bien cubiertas de GB el ML no falla; contrapunto para justificar por qué en el Altiplano árido sí puede fallar4"The LSTM shows a large performance improvement for low-flow bias score (%BiasFLV)"p. 7, Results §3.1(1), (6)[HALLAZGO/NÚMERO]Respaldo directo para tu eje (6): el LSTM maneja mejor los bajos caudales que los modelos conceptuales; citable para motivar ML en régimen de estiaje5"the median variability error is negative (Fig. 1d), showing that the LSTMs tend towards underpredicting the variability of flows"p. 7, Results §3.1(5), (6)[LIMITACIÓN/CONTRASTE]Matiza tu enfoque: el LSTM puro subdispersa; argumento directo para justificar tus bandas estocásticas α-estables y métricas PICP/PINAW6"Basins that have long periods of low flow contain little information, since changing meteorological inputs co-occurs with very little change in the target discharge. Therefore, the physical process relating meteorological inputs to river discharge can only be inferred from those catchments with varying discharge"p. 14, Discussion §4.1.3(3), (6)[LIMITACIÓN/CONTRASTE]Matiza tu enfoque: explica teóricamente por qué el ML falla en regímenes áridos/altiplánicos; refuerza la necesidad de tu ruido α-estable y el enfoque estocástico7"the data may not contain sufficient geological information to describe the complex percolation and surface or subsurface connectivity pathways that cause a surface water catchment to leak"p. 12, Discussion §4.1.3(1), (6)[LIMITACIÓN/CONTRASTE]Respalda la hibridación física–ML: la física aporta información estructural que el ML solo no puede inferir; argumento para tu eje (1)8"the LSTM is evaluated on out-of-sample (in time) data, whereas the conceptual model parameters were calibrated on data included in the evaluation period (in-sample evaluation)"p. 10, Methods §2.4.1(4)[AFIRMACIÓN GENERAL]Reconocen explícitamente el problema de leakage temporal; citable para tu sección de validación estricta (eje 4) como antecedente de buena práctica9"We train our model using the Nash–Sutcliffe efficiency (NSE) loss as our objective function, as described in Kratzert et al. (2019). Other objective functions could be used; however, we use the same objective function as the conceptual models we compare against, in order to control the possible sources of performance differences"p. 5, Methods §2.3(4), (5)[DEFINICIÓN/MÉTODO]Justifica controlar la función objetivo al comparar modelos; útil para tu sección metodológica sobre métricas de calibración y equidad de comparación10"The LSTM-based models show no significant correlation between baseflow index and model performances, in contrast with the other models"p. 10, Results §3.2(6)[HALLAZGO/NÚMERO]Relevante para tu eje (6): el LSTM es robusto al baseflow dominante; contrasta con modelos conceptuales y motiva incorporar descriptores de memoria en tus features (eje 2)11"the LSTM continues to produce a performance decline in catchments with an imbalanced water balance [...] This suggests that the LSTM models still struggle with water-limited and energy-limited [...] catchments"p. 12, Results §3.3.1(1), (3), (6)[LIMITACIÓN/CONTRASTE]Contradice parcialmente tu contexto: la cuenca Ramis es precisamente agua-limitada; debes discutir esto honestamente y argumentar que tu ruido α-estable y ensemble estocástico mitigan esta limitación12"further data, such as groundwater time series, might be necessary to obtain more accurate discharge predictions. We suggest that different input datasets should be tested to try and improve LSTM performances, enabling the LSTM to more properly account for the complex percolation and infiltration dynamics in these catchments"p. 14, Discussion §4.1.3(1), (2)[AFIRMACIÓN GENERAL]Respalda tu eje (2): tus descriptores estadísticos del ensemble físico estocástico son precisamente el tipo de "datos adicionales" que el paper sugiere incorporar

##nicolle2014benchmarking
| N°     | Texto literal                                                                                                                                                                                              | Pág./Sección (Ctrl+F)                                                          | Eje      | Tipo                     | Razón                                                                                                                                        |
| ------ | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------ | -------- | ------------------------ | -------------------------------------------------------------------------------------------------------------------------------------------- |
| **1**  | **"Results showed that, in simulation as well as in forecasting modes, all hydrological models performed almost systematically better than the benchmarks."**                                              | **p. 1, Abstract** (Ctrl+F: *"Results showed that, in simulation"*)            | (1), (4) | **[HALLAZGO/NÚMERO]**    | Excelente frase para justificar el uso de benchmarks en la evaluación de modelos hidrológicos.                                               |
| **2**  | **"Although no single model outperformed all the others for all catchments and criteria, a few models appeared to be more satisfactory than the others on average."**                                      | **p. 1, Abstract** (Ctrl+F: *"Although no single model"*)                      | (1)      | **[AFIRMACIÓN GENERAL]** | Respalda la idea de que ningún modelo domina universalmente, argumento muy útil para justificar enfoques híbridos.                           |
| **3**  | **"We found that the multi-model approach was more robust and could provide better performance than individual models on average."**                                                                       | **p. 1, Abstract** (Ctrl+F: *"We found that the multi-model"*)                 | (1), (2) | **[HALLAZGO/NÚMERO]**    | Muy útil para sustentar estrategias basadas en ensembles, precursor conceptual de tus descriptores estadísticos del ensemble físico.         |
| **4**  | **"Low-flow forecasting has received only limited attention in the literature compared to flood forecasting."**                                                                                            | **p. 2, Introduction** (Ctrl+F: *"Low-flow forecasting has received"*)         | (6)      | **[AFIRMACIÓN GENERAL]** | Justifica la relevancia científica de trabajar específicamente en bajos caudales.                                                            |
| **5**  | **"To make more reliable forecasts and extend to longer lead times, it is necessary to account for future meteorological conditions."**                                                                    | **p. 2, Introduction** (Ctrl+F: *"To make more reliable forecasts"*)           | (2), (5) | **[DEFINICIÓN/MÉTODO]**  | Fundamenta el uso de escenarios/ensembles para incorporar incertidumbre en pronósticos.                                                      |
| **6**  | **"These authors also indicate that parameter estimation is a major source of uncertainty for medium-range (10 days ahead) low-flow forecasts."**                                                          | **p. 2, Introduction** (Ctrl+F: *"parameter estimation is a major source"*)    | (3), (5) | **[AFIRMACIÓN GENERAL]** | Muy útil para discutir incertidumbre estructural y paramétrica frente a tu enfoque estocástico.                                              |
| **7**  | **"Overall, obtaining satisfactory streamflow simulation seems to depend more on catchment than on the model itself."**                                                                                    | **p. 13, Results** (Ctrl+F: *"obtaining satisfactory streamflow simulation"*)  | (1), (6) | **[HALLAZGO/NÚMERO]**    | Excelente para discutir regionalización y dependencia de las características hidrológicas de la cuenca.                                      |
| **8**  | **"A better model in simulation does not systematically mean a better model in forecasting, which strengthens the need for an evaluation relative to specific modelling objectives."**                     | **p. 16, Discussion** (Ctrl+F: *"A better model in simulation"*)               | (4)      | **[AFIRMACIÓN GENERAL]** | Muy relevante para justificar validaciones separadas entre simulación y pronóstico, y para evitar interpretaciones simplistas del desempeño. |
| **9**  | **"Models are much better than the benchmark (daily average streamflow) and showed the usefulness of hydrological simulation for low flows."**                                                             | **p. 22, Conclusion** (Ctrl+F: *"Models are much better than the benchmark"*)  | (1), (4) | **[HALLAZGO/NÚMERO]**    | Refuerza el uso de benchmarks como referencia mínima en evaluación hidrológica.                                                              |
| **10** | **"Combining the single models into a multi-model was successful even with simple combination methods, but the performance of the multi-model strongly depends on the performance of individual models."** | **p. 23, Conclusion** (Ctrl+F: *"Combining the single models"*)                | (1), (2) | **[HALLAZGO/NÚMERO]**    | Muy útil para argumentar por qué un ensemble físico aporta información valiosa, pero también tiene limitaciones.                             |
| **11** | **"The main advantage in building a multi-model lies in its robustness, where only one model presents difficulties on a catchment, a multi-model corrects this weakness."**                                | **p. 23, Conclusion** (Ctrl+F: *"The main advantage in building"*)             | (2), (5) | **[AFIRMACIÓN GENERAL]** | Respaldará la motivación de utilizar información agregada de múltiples simulaciones físicas como entrada del ML.                             |

##van2013influence
N°Texto literalPág./SecciónEjeTipoRazón1"conceptual hydrological models perform better on larger and/or wetter catchments than on smaller and/or drier catchments"p. 1, Abstract(1), (6)[AFIRMACIÓN GENERAL]Frase-ancla del paper para tu contexto: la cuenca Ramis es pequeña y árida/semiárida; citable directamente para motivar por qué los modelos conceptuales solos son insuficientes allí2"The model structures performed poorly when there were large climatic differences between the calibration and validation periods, in catchments with flashy flows, and in catchments with unexplained variations in low flow measurements"p. 1, Abstract(1), (4), (6)[LIMITACIÓN/CONTRASTE]Triple condición de falla que describe el Altiplano (variabilidad interanual alta, régimen flashy en la época húmeda, bajos caudales problemáticos); argumento directo para justificar tu enfoque estocástico3"a weakness of the fixed modelling approach is that the processes included in the model, and their mathematical representation, may not correspond to the actual dominant processes in particular catchments of interest. This results in large structural errors and poor model performance"p. 2, §1.1(1), (3)[AFIRMACIÓN GENERAL]Justifica que el error estructural de modelos conceptuales fijos motiva la hibridación; argumento para usar un ensemble estocástico que propague esa incertidumbre (eje 3)4"aggregate performance criteria such as the Nash–Sutcliffe efficiency index may hide internal model inconsistencies. More detailed evaluation frameworks and field observations of internal variables (e.g. soil moisture) should hence be used to more thoroughly evaluate structural limitations"p. 2, §1.1(5), (1)[LIMITACIÓN/CONTRASTE]Matiza tu enfoque: el NSE solo es insuficiente; refuerza tu uso de métricas múltiples (PICP/PINAW/Winkler) y motiva reportar descomposición de error5"the flexible approach has a higher chance of inconsistent results when calibrated on two different periods [...] the flexible approach is inconsistent more often than the fixed approach: 38 % versus 28 % of the catchments, respectively"p. 8, §3.3(1), (4)[HALLAZGO/NÚMERO]Contradice parcialmente tu enfoque: la flexibilidad estructural compra rendimiento a costa de consistencia temporal; argumento para justificar la validación estricta fuera de muestra en tu diseño (eje 4)6"model performance on wetter catchments is generally better than on drier catchments. The difference in performance on dry versus wet catchments is large for almost all model structures. This is in agreement with literature showing that drier catchments are generally more difficult to model due to the higher nonlinearity in the hydrological processes"p. 7, §3.2(1), (3), (6)[AFIRMACIÓN GENERAL]Respaldo multi-modelo para el argumento de que la cuenca Ramis (semiárida estacional) es estructuralmente difícil; la no-linealidad que mencionan es precisamente lo que tu ruido α-estable intenta capturar7"Parallel reservoirs with independent time constants increase model performance in groundwater-dominated catchments"p. 11, §5 (Conclusions)(1), (6)[HALLAZGO/NÚMERO]Relevante para tu eje (6): en cuencas con baseflow importante (Ramis tiene acuíferos altoandinos), la estructura de reservorios paralelos mejora la simulación; argumento para la arquitectura de tu modelo físico base8"despite of this improved objective function, all model structures scored poorly on the low flow criterion (CR2*). The poor performance of the models in the low-flow simulations, even with a variety of modelling options, corroborates earlier findings"p. 10, §4.5(5), (6)[LIMITACIÓN/CONTRASTE]Evidencia multi-modelo de que los bajos caudales son un problema estructural irresoluble con calibración estándar; argumento directo para tu eje (6) y para justificar métricas específicas de bajos caudales en tu validación9"the difficulties in identifying optimal model structures and parameter sets from rainfall-runoff data alone, as well as the frequent inconsistencies in the model performance across different time periods, illustrate the need for careful controlled approaches for model selection and development. Therefore, stringent model evaluation schemes should be designed to enhance the robustness of the selected model structures"p. 11, §5(4), (7)[AFIRMACIÓN GENERAL]Respalda directamente tu eje (4) y (7): la evaluación rigurosa y controlada es una necesidad reconocida; citable para justificar tu esquema de validación temporal estricta y reportes de reproducibilidad10"in many catchments, multi-hypothesis frameworks such as SUPERFLEX can be used to improve the performance of fixed-structure models, and, in general, be used to construct model ensembles to describe structural uncertainties"p. 10, §4.2(1), (3)[AFIRMACIÓN GENERAL]Respalda tu arquitectura de ensemble estocástico: la literatura reconoce el ensemble de estructuras como método para cuantificar incertidumbre estructural, que es exactamente lo que tus features del eje (2) extraen

#condom2004transient
N°Texto literalPág./SecciónEjeTipoRazón1"A model was developed for estimating the delay between a change in climatic conditions and the corresponding fall of water level in large lakes."p. 1, Abstract(1)[AFIRMACIÓN GENERAL]Define el propósito de un modelo conceptual lumped para cuenca endorreica andina; antecedente directo de modelos físicos en el sistema Titicaca-Ramis.2"The model uses two empirical coefficients for computing the potential evaporation and one parameter for the soil capacity."p. 1, Abstract(1)[DEFINICIÓN/MÉTODO]Cuantifica la parsimonia del modelo físico (3 parámetros): contraste útil frente a la complejidad de tu híbrido estocástico.3"Under modern climatic conditions with a marked rainy season, the model allows simulation of water levels in good agreement with the observations: 3810 m a.s.l. for Lake Titicaca"p. 1, Abstract(1)(6)[HALLAZGO/NÚMERO]Valida que un modelo lumped simple reproduce el régimen estacional del Altiplano; base de comparación para tu ensemble físico.4"This conceptual lumped model is very parsimonious, with only one CapaS parameter and two reservoirs (the soil and the lake)."p. 6, Water Balance Model(1)[DEFINICIÓN/MÉTODO]Descripción canónica del modelo físico que podrías usar como componente físico base de tu arquitectura híbrida en la cuenca Ramis.5"For CapaS of 0·24 m, the correlation coefficient is R² = 0·87 and we observe a good agreement when the discharge is high during the last decade of the calibration period. The failure to reproduce low flow could be explained by the relationship that links the lake volume to the Desaguadero flow."p. 7, Results(1)(6)[HALLAZGO/NÚMERO] + [LIMITACIÓN/CONTRASTE]Limitación clave: el modelo físico falla en caudales bajos (low flow); justifica directamente tu eje (6) y la necesidad de un componente ML/estocástico para el régimen de estiaje.6"The sensitivity analysis shows that to keep the correlation coefficient R² above 0·8, CapaS should range between 0·2 (R² = 0·80, Crbal = 0·60) and 0·3 (R² = 0·84, Crbal = 0·60)."p. 7, Results(3)(4)[HALLAZGO/NÚMERO]Rango de incertidumbre paramétrica del modelo físico; argumento para tu propagación Monte Carlo sobre CapaS como fuente de variabilidad del ensemble.7"There is a negative rainfall gradient from north (about 750 mm/year) to south (about 160 mm/year at Uyuni) with a marked rainy season (60% of the annual amount during the 3 months between December and February, DJF) and a long dry season (March to November)."p. 3, Modern hydroclimatic features(6)[AFIRMACIÓN GENERAL]Caracterización cuantitativa del régimen estacional del Altiplano; antecedente regional del contexto hidrológico de tu cuenca Ramis.8"The impact of the seasonal rainfall distribution is clearly demonstrated and justifies the selected time-step (3 months) of the model."p. 11, Discussion(6)[AFIRMACIÓN GENERAL]Respalda que la estacionalidad marca la dinámica dominante; en tu caso justifica features estacionales en el componente ML y el uso de descriptores cuantílicos por temporada (eje 2).9"Although one climate change scenario cannot be singled out from our calculations, at least our model can test the plausibility of any proposed scenario, and give bounds to the magnitude of the changes in precipitation, temperature and seasonal distribution required to reproduce the past inferred lake-level changes."p. 11, Discussion(3)(5)[LIMITACIÓN/CONTRASTE]Reconoce explícitamente que el modelo físico solo acota rangos de incertidumbre, no la selecciona; argumento perfecto para motivar tu calibración de incertidumbre (PICP/PINAW) como mejora sobre el enfoque determinista de Condom.10"For the northern subcatchment, the time required for the 100 m fall in lake-level ranges between 200 and 2000 years when, compared with the present conditions, (i) the rainfall is decreased by 15% (640 mm/year), or (ii) the temperature is increased by 5·5 °C, or (iii) rainfall is distributed equally over the year."p. 1, Abstract(3)[HALLAZGO/NÚMERO]Rango de respuesta del sistema (200–2000 años) como expresión de incertidumbre estructural del modelo físico; motiva el diseño de un ensemble estocástico en lugar de una sola trayectoria.11"The correlation coefficient (R²) between these two independent DEMs is around 0·98 for the surface area–elevation relationship and 0·99 for the volume–elevation relationship."p. 2, Study Site(4)[HALLAZGO/NÚMERO]Dato de consistencia entre fuentes topográficas independientes; útil en la sección de datos del Ramis para justificar el uso de DEM como input sin leakage espacial.

#cross2001late
